game_name,Navy_clear_attempts,Navy_draw_controls,Navy_failed_clears,Navy_fouls,Navy_free_positions,Navy_goals,Navy_ground_ball_pickups,Navy_possessions,Navy_shots,Navy_successful_clears,Navy_timeouts,Navy_turnovers,clear_attempts,draw_controls,fouls,free_position_attempts,goals,ground_ball_pickups,opponent_clear_attempts,opponent_draw_controls,opponent_failed_clears,opponent_fouls,opponent_free_positions,opponent_goals,opponent_ground_ball_pickups,opponent_possessions,opponent_shots,opponent_successful_clears,opponent_timeouts,opponent_turnovers,possessions,shots,timeouts,turnovers,solo_WeaponAcquired,solo_Days,solo_LongestTimeSurvived,solo_MostSurvivalTime,solo_AvgSurvivalTime,solo_WinPoints,solo_WalkDistance,solo_RideDistance,solo_MoveDistance,solo_AvgWalkDistance,solo_AvgRideDistance,solo_LongestKill,solo_Heals,solo_Revives,solo_Boosts,solo_DamageDealt,solo_DBNOs,duo_KillDeathRatio,duo_WinRatio,duo_TimeSurvived,duo_RoundsPlayed,duo_Wins,duo_WinTop10Ratio,duo_Top10s,duo_Top10Ratio,duo_Losses,duo_Rating,duo_BestRating,duo_DamagePg,duo_HeadshotKillsPg,duo_HealsPg,duo_KillsPg,duo_MoveDistancePg,duo_RevivesPg,duo_RoadKillsPg,duo_TeamKillsPg,duo_TimeSurvivedPg,duo_Top10sPg,duo_Kills,duo_Assists,duo_Suicides,duo_TeamKills,duo_HeadshotKills,duo_HeadshotKillRatio,duo_VehicleDestroys,duo_RoadKills,duo_DailyKills,duo_WeeklyKills,duo_RoundMostKills,duo_MaxKillStreaks,duo_WeaponAcquired,duo_Days,duo_LongestTimeSurvived,duo_MostSurvivalTime,duo_AvgSurvivalTime,duo_WinPoints,duo_WalkDistance,duo_RideDistance,duo_MoveDistance,duo_AvgWalkDistance,duo_AvgRideDistance,duo_LongestKill,duo_Heals,duo_Revives,duo_Boosts,duo_DamageDealt,duo_DBNOs,squad_KillDeathRatio,squad_WinRatio,squad_TimeSurvived,squad_RoundsPlayed,squad_Wins,squad_WinTop10Ratio,squad_Top10s,squad_Top10Ratio,squad_Losses,squad_Rating,squad_BestRating,squad_DamagePg,squad_HeadshotKillsPg,squad_HealsPg,squad_KillsPg,squad_MoveDistancePg,squad_RevivesPg,squad_RoadKillsPg,squad_TeamKillsPg,squad_TimeSurvivedPg,squad_Top10sPg,squad_Kills,squad_Assists,squad_Suicides,squad_TeamKills,squad_HeadshotKills,squad_HeadshotKillRatio,squad_VehicleDestroys,squad_RoadKills,squad_DailyKills,squad_WeeklyKills,squad_RoundMostKills,squad_MaxKillStreaks,squad_WeaponAcquired,squad_Days,squad_LongestTimeSurvived,squad_MostSurvivalTime,squad_AvgSurvivalTime,squad_WinPoints,squad_WalkDistance,squad_RideDistance,squad_MoveDistance,squad_AvgWalkDistance,squad_AvgRideDistance,squad_LongestKill,squad_Heals,squad_Revives,squad_Boosts,squad_DamageDealt,squad_DBNOs
Army West Point,19,19,2,10,0,20,19,34,16,17,0,14,37,31,25,12,30,36,18,12,5,15,12,10,17,56,19,13,1,15,60,35,1,29,0,14,1909.66,1909.66,1262.83,2425,28924.31,27537.53,56461.84,2202.4,2764.5,304.87,33,0,29,4341.06,0,6.5,33.33,21913.81,15,5,0.25,10,66.7,10,2054.7,1927.91,569.6,1.2,2.33,4.33,6387.27,0.13,0,0,1460.92,0.67,65,24,0,0,18,0.28,2,0,22,22,9,2,0,8,1902.92,1902.92,1194.21,2686,30604.31,65204.77,95809.08,1252.45,4744.35,401.45,35,2,43,8544.07,40,5.45,47.51,1064406.38,642,305,0.29,583,90.8,337,3212.25,3208.69,377.15,0.5,3.4,2.86,8091.57,0.36,0.04,0,1657.95,0.91,1836,892,1,3,319,0.17,56,24,34,274,11,5,0,46,2328.32,2328.32,1449.03,4868,1443195.59,3751590.99,5194786.58,2626.97,4372.64,536.98,2186,234,1884,242132.73,1448
Army West Point,19,17,1,16,0,21,21,37,17,18,0,12,34,31,39,13,29,31,15,14,3,23,13,8,10,55,9,12,1,20,63,26,1,32,0,10,1987.94,1987.94,1221.32,3812,47868.77,117837.74,165706.51,2017.38,5188.69,351.95,60,0,88,12970.39,0,4.56,35.71,17765.43,14,5,0.36,7,50,9,2097.88,2061.61,338.88,1.07,1.93,2.93,6868.74,0.14,0,0.14,1268.96,0.5,41,16,1,2,15,0.37,1,0,2,2,9,2,0,9,2126.82,2126.82,1020.42,2763,29229.32,66933.08,96162.39,1483.98,4109.21,182.84,27,2,43,4744.32,23,5.73,46.81,1176986.52,722,338,0.58,640,88.6,384,3156.94,3170.75,373.68,0.61,2.83,3.05,8381.97,0.38,0.03,0,1630.18,0.89,2201,964,1,3,439,0.2,44,22,84,405,14,5,0,44,2192.81,2192.81,1570.51,4058,1755866.37,4295917.3,6051783.67,2422.48,6009.73,734.85,2041,276,2340,269795.75,1724
American,13,26,0,14,0,20,15,34,22,13,0,7,30,32,39,16,30,24,17,6,1,25,16,10,9,55,21,16,0,8,47,43,0,15,0,4,1578.31,1578.31,1133.17,2061,6340.79,7683.2,14023.99,1375.7,3052.5,125.76,5,0,3,1648.82,0,6.55,35.29,23449.22,17,6,0.3,10,58.8,11,2119.67,2052.94,527.8,0.71,1.65,4.24,5839.7,0.12,0,0.06,1379.37,0.59,72,30,1,1,12,0.17,0,0,27,27,10,2,0,9,1890.24,1890.24,1369.22,2777,41541.12,57733.81,99274.93,3185.21,4049.19,354.19,28,2,42,8972.61,36,6.08,47.34,1166679.99,733,347,0.47,654,89.2,386,3170.41,3179.38,399.7,0.59,2.41,3.2,7625.66,0.29,0.03,0.01,1591.65,0.89,2348,965,2,9,434,0.18,61,23,65,382,17,4,0,48,2328.32,2328.32,1223.28,5929,1654344.11,3935265.63,5589608.74,1871.89,3011.87,725.44,1766,210,2193,292977.07,1897
Boston College,21,7,3,12,0,5,17,22,17,18,0,12,41,25,22,6,23,33,20,18,3,10,6,18,16,55,16,17,2,15,52,33,2,27,0,5,1980.79,1980.79,1677.73,1484,17579.69,30314.83,47894.53,2197.46,3789.35,412.25,8,0,24,6015.57,0,8,66.67,4196.37,3,2,1,2,66.7,1,1557.9,1465.88,434.13,1,0.33,2.67,6206.07,0.33,0,0,1398.79,0.67,8,3,0,0,3,0.38,0,0,8,8,7,2,0,2,1857.97,1857.97,1398.79,1309,10296.21,8322,18618.21,3432.07,2774,192.89,1,1,6,1302.4,5,4.77,42.16,777611.9,491,207,0.49,426,86.8,284,3078.62,3098.77,368.85,0.37,2.47,2.76,7733.03,0.29,0.04,0.01,1583.73,0.87,1354,659,1,3,180,0.13,36,21,56,56,12,5,0,38,2192.31,2192.31,1583.73,2576,1057919,2738998,3796916,2154.62,5578.41,587.28,1214,142,1252,181106.9,1057
Boston University,18,16,2,15,0,13,18,31,17,16,0,17,42,27,32,17,25,36,24,11,5,17,17,12,18,55,16,19,5,15,59,33,5,32,0,2,1923.71,1923.71,1640.17,1384,16736.41,22425.36,39161.77,2789.4,3737.56,307.97,12,0,21,3824.89,0,5.03,25.71,142571.5,105,27,0.45,60,57.1,78,2362.55,2366.2,428.62,0.86,1.9,3.73,5662.43,0.25,0.02,0,1357.82,0.57,392,81,0,0,90,0.23,3,2,3,3,15,4,0,18,2160.98,2160.98,1357.82,1952,191882.3,402672.8,594555.1,1827.45,3834.98,362.7,199,26,235,45005.56,216,5.7,46.39,669326.9,416,193,0.53,363,87.3,223,3085.86,3092.78,384.69,0.62,2.99,3.05,7741.01,0.29,0.02,0.01,1608.96,0.87,1270,490,0,6,257,0.2,23,9,42,160,15,6,0,40,2328.32,2328.32,1608.96,2579,872965.4,2347295,3220260,2098.47,5642.54,546.1,1245,120,923,160029.8,1077
Brown,24,21,2,24,0,18,15,31,21,22,0,14,49,32,53,19,30,31,25,11,3,29,19,12,16,56,24,22,2,10,56,45,2,24,0,11,1957.74,1957.74,1375.2,1757,31043.18,60352.12,91395.3,1940.2,3772.01,298.03,22,0,50,6591.15,0,2.94,14.67,83660.68,75,11,0.16,34,45.3,64,2226.39,2191.85,305.34,0.51,1.87,2.51,3983.75,0.25,0.01,0.01,1115.48,0.45,188,43,0,1,38,0.2,3,1,14,27,15,2,0,14,1955.56,1955.56,713.74,2845,137692.63,161088.2,298780.93,1056.2,1088.43,486.17,140,19,167,22900.24,111,3.65,32.1,1073647,729,234,0.4,580,79.6,495,3093.21,3107.17,327.35,0.44,2.78,2.48,6493.8,0.27,0.02,0,1472.77,0.8,1807,737,1,3,318,0.18,60,14,9,9,13,4,0,47,2193.07,2193.07,1472.77,2591,1515541,3218436,4733977,2078.93,4414.86,1212.76,2023,195,2307,238640,1450
Bucknell,21,19,2,12,0,17,17,39,30,19,0,12,50,20,37,14,21,31,29,1,9,25,14,4,14,55,14,20,2,20,52,44,2,32,0,38,2724.3,2724.3,1238.78,3162,201112.38,469525.85,670638.33,1939,5189.78,464.37,275,0,371,40409.57,0,3.46,23.31,241426.76,163,38,0.55,104,63.8,125,2589.46,2597.91,355.47,0.57,3.13,2.66,7097.9,0.23,0.02,0.02,1481.15,0.64,433,143,1,4,93,0.21,12,3,19,26,14,3,0,36,2188.91,2188.91,1362.62,3487,317879.26,839078.03,1156956.9,1770.29,4278.03,410.31,510,37,647,57940.86,254,3.49,33,600768.86,397,131,0.24,316,79.6,266,3053.11,3050.51,332.52,0.47,3.21,2.34,7262.21,0.34,0.01,0.01,1513.27,0.8,928,436,0,5,185,0.2,25,3,21,21,11,4,0,49,2183.76,2183.76,1209.58,4895,825676.33,2057423.12,2883099.31,1664.77,3022.51,564.2,1274,133,1320,132008.88,775
Colgate,23,11,5,0,0,18,28,32,18,18,0,13,39,26,27,15,24,42,16,15,2,27,15,6,14,55,15,14,1,21,60,33,1,34,0,7,2093.71,2093.71,1373.22,1667,24132.11,71402.04,95534.14,1270.11,3758,260.01,29,0,55,4529.69,0,2.82,18.52,30337.46,27,5,0.45,11,40.7,22,1949.38,1971.82,288.64,0.26,2.26,2.3,3981.88,0.15,0,0,1123.61,0.41,62,20,0,0,7,0.11,1,0,2,18,8,2,0,9,1980.32,1980.32,1123.61,1609,33958.28,73552.54,107510.8,1257.71,2724.17,352.32,61,4,65,7793.35,34,2.75,30.32,1180700,775,235,0.37,643,83,540,3028,3040.07,260.21,0.34,2.84,1.92,6263.73,0.21,0.03,0.01,1523.48,0.83,1487,627,2,10,267,0.18,31,26,26,26,10,4,0,47,2193.35,2193.35,1523.48,2529,1267794,3586593,4854387,1635.86,4627.86,806.24,2199,163,1864,201659,1287
Florida,23,15,5,9,0,14,18,30,15,18,0,19,44,28,40,14,27,37,21,13,1,31,14,13,19,56,19,20,6,15,62,34,6,34,0,21,2180.54,2180.54,651.93,3000,66660.75,98830.09,165490.88,830.48,1176.55,283.13,67,0,97,14935.28,0,3.16,13.64,23983.08,22,3,0.3,10,45.5,19,1990.98,2009.96,339.02,0.5,2.95,2.73,3911.32,0.09,0.05,0,1090.14,0.45,60,8,0,0,11,0.18,0,1,10,17,12,2,0,9,2187.54,2187.54,1090.14,1646,39639.19,46409.87,86049.06,1801.78,2109.54,235.7,65,2,59,7458.37,34,3.89,32.89,345208.3,225,74,0.41,179,79.6,151,3080.89,3068.3,357.77,0.36,2.74,2.61,6893.22,0.27,0.02,0.04,1534.26,0.8,588,255,0,10,80,0.14,13,4,40,186,12,4,0,24,2191.98,2191.98,1534.26,2577,496712.2,1054263,1550975,2207.61,4685.61,455.67,617,61,585,80498.73,513
Georgetown,22,16,3,8,0,16,19,31,16,19,0,16,39,27,32,15,25,37,17,11,1,24,15,9,18,55,16,16,2,15,58,32,2,31,0,5,1900.1,1900.1,1259.94,2309,23650,7633.25,31283.25,3609.51,546.01,183.7,9,0,24,2979.04,0,4,17.65,17324.46,17,3,0.43,7,41.2,14,1704.17,1660.3,370.03,0.41,1.47,3.29,3190.38,0,0,0,1019.09,0.41,56,13,0,0,7,0.12,0,0,18,18,10,2,0,5,1972.37,1972.37,1019.09,1399,27742.32,26494.2,54236.52,1631.9,1558.48,277.85,25,0,42,6290.53,30,2.81,34.83,784914.7,491,171,0.2,421,85.7,320,3036.18,3039.56,251.68,0.3,2.69,1.83,8291.32,0.45,0.02,0.01,1598.6,0.86,900,585,1,3,147,0.16,46,9,32,32,10,4,0,40,2328.32,2328.32,1144.18,3549,1277130.96,2793909.91,4071039.87,1981.29,3635.28,546.95,1320,220,1338,123573.74,675
